ID,OrderId,UID,MID,Charge,TalkTime,Source,Country,UserSpend,MasterEarn,OrderStatus,Ender,Activity,Platform,CreateTime(IN),DialTime(IN),UnconnectTime(IN),ConnectTime(IN),HangUpTime(IN),RefundStatus,Review,,,ExotelCallId
3962907,64F4DC019A0A2501X936,3552420,1054,15,6,Chat,1,90,45,HangUp,User,,Android,2023-09-04 00:48:25,2023-09-04 00:48:30,,2023-09-04 00:48:34,2023-09-04 00:54:55,,Yes,,,
3962908,64F4DC40B7C36886S126,3564009,1088,22,6,Chat,1,132,15,HangUp,User,First 5₹,Android,2023-09-04 00:49:28,2023-09-04 00:49:54,,2023-09-04 00:50:02,2023-09-04 00:56:03,,No,,,
3962909,64F4DC552DCC2649P998,3546256,633,32,6,Call,1,192,76.8,HangUp,User,,IOS,2023-09-04 00:49:49,2023-09-04 00:49:49,,2023-09-04 00:50:01,2023-09-04 00:57:08,,No,,,8ddc786efd670b66733427c5441a1794
3962910,64F4DC631729A651P521,302484,892,21,9.52381,Chat,1,200,105,HangUp,Master,,Android,2023-09-04 00:50:03,2023-09-04 00:50:05,,2023-09-04 00:50:08,2023-09-04 00:59:40,,No,,,
3962911,64F4DC7A80F77657N796,2631127,650,22.5,0,Chat(queue),1,0,0,Create,User,Member,Android,2023-09-04 00:50:26,,2023-09-04 00:50:58,,,,No,,,
3962912,64F4DCAEC77B5505H556,2631127,650,22.5,0,Call(queue),1,0,0,Create,User,Member,Android,2023-09-04 00:51:18,,2023-09-04 00:51:46,,,,No,,,
3962913,64F4DCBF6B7D2744U717,1136719,575,21,9,Call(queue),1,189,94.5,HangUp,User,,Android,2023-09-04 00:51:35,2023-09-04 00:54:53,,2023-09-04 00:55:00,2023-09-04 01:05:03,,No,,,2bc1e7dd5d9aa20e7a7f397d31911794
3962914,64F4DCD7F2775154Y977,2631127,650,22.5,41,Chat,1,922.5,461.25,HangUp,Master,Member,Android,2023-09-04 00:51:59,2023-09-04 00:52:05,,2023-09-04 00:52:08,2023-09-04 01:33:34,,Yes,,,
3962915,64F4DDFAA27B2527W520,1059612,220,35,16,Call,1,560,280,HangUp,User,,IOS,2023-09-04 00:56:50,2023-09-04 00:56:50,,2023-09-04 00:57:22,2023-09-04 01:14:33,,No,,,f95a8502d46151e5d05cc2c1ec4e1794
3962916,64F4DE4CAE3A3487N173,3564016,1054,15,6,Chat,1,90,15,HangUp,User,First 5₹,Android,2023-09-04 00:58:12,2023-09-04 00:58:17,,2023-09-04 00:58:20,2023-09-04 01:04:21,,Yes,,,
3962917,64F4DE99B4762637D635,3299328,892,21,0,Chat(queue),1,0,0,Create,User,,Android,2023-09-04 00:59:29,,2023-09-04 00:59:34,,,,No,,,
3962918,64F4DEE1B9F86533X711,3299328,1073,18,8,Chat,1,144,72,HangUp,Master,,Android,2023-09-04 01:00:41,2023-09-04 01:00:54,,2023-09-04 01:00:56,2023-09-04 01:09:16,,Yes,,,
3962919,64F4DF146E889877L259,2696932,633,32,1,Chat,1,32,12.8,HangUp,User,,Android,2023-09-04 01:01:32,2023-09-04 01:01:37,,2023-09-04 01:01:39,2023-09-04 01:02:46,,No,,,
3962920,64F4DF25177F3475V618,2625201,558,45,7,Call,1,315,157.5,HangUp,User,,Android,2023-09-04 01:01:49,2023-09-04 01:01:49,,2023-09-04 01:01:58,2023-09-04 01:10:02,,No,,,4feab141f5148c46cfb088a0dc671794
3962921,64F4DF681A6C1196O708,3020656,712,36,0,Call,1,0,0,NoAnswer,Master,,IOS,2023-09-04 01:02:56,2023-09-04 01:02:56,2023-09-04 01:03:42,,2023-09-04 01:03:35,,No,,,3eb048fca810c67ccff31ca4e3151794
3962922,64F4DF6E5C737646N236,2696932,633,32,5,Chat,1,160,64,HangUp,User,,Android,2023-09-04 01:03:02,2023-09-04 01:03:04,,2023-09-04 01:03:06,2023-09-04 01:08:20,,Yes,,,
3962923,64F4DFB1B64E5176S508,3563964,128,40,9,Chat,1,360,180,HangUp,User,,IOS,2023-09-04 01:04:09,2023-09-04 01:04:27,,2023-09-04 01:05:13,2023-09-04 01:13:55,,Yes,,,
3962924,64F4E00A97142117Q919,3547004,338,40,14,Call,1,560,280,HangUp,User,,Android,2023-09-04 01:05:38,2023-09-04 01:05:38,,2023-09-04 01:05:50,2023-09-04 01:20:45,,No,,,e93307441cf4cd3a0919dcaab7781794
3962925,64F4E01338D9E154W528,3546256,633,32,0,Call(queue),1,0,0,NoAnswer,User,,IOS,2023-09-04 01:05:47,2023-09-04 01:08:30,2023-09-04 01:10:30,2023-09-04 01:08:37,,,No,,,b56f4c54090dc2a9104905aa41851794
3962926,64F4E037636E3519D487,3280531,656,20,10,Chat,1,200,100,HangUp,Master,,Android,2023-09-04 01:06:23,2023-09-04 01:06:29,,2023-09-04 01:06:32,2023-09-04 01:16:33,,No,,,
3962927,64F4E0C49FC1B669F466,2830485,133,25,9,Chat,1,225,112.5,HangUp,Master,,Android,2023-09-04 01:08:44,2023-09-04 01:08:57,,2023-09-04 01:09:02,2023-09-04 01:18:30,,Yes,,,
3962928,64F4E12D85190124F800,2625201,558,45,6,Call,1,270,135,HangUp,User,,Android,2023-09-04 01:10:29,2023-09-04 01:10:29,,2023-09-04 01:10:37,2023-09-04 01:17:39,,No,,,dc710a37204e8de50701c5b96d7f1794
3962929,64F4E1995636C690R280,3564020,633,32,6,Call,1,192,12,HangUp,User,First 5₹,Android,2023-09-04 01:12:17,2023-09-04 01:12:17,,2023-09-04 01:12:25,2023-09-04 01:18:37,,No,,,fec23453adc3e2e72031624404521794
3962930,64F4E2747722E952H474,3563964,656,20,10,Chat(queue),1,200,100,HangUp,Master,,IOS,2023-09-04 01:15:56,2023-09-04 01:16:41,,2023-09-04 01:16:43,2023-09-04 01:26:44,,Yes,,,
3962931,64F4E2FB4A1E1347G191,3280531,656,20,10,Chat(queue),1,200,100,HangUp,Master,,Android,2023-09-04 01:18:11,2023-09-04 01:26:54,,2023-09-04 01:27:00,2023-09-04 01:37:01,,No,,,
3962932,64F4E301EBC91530J764,3564026,938,25,0,Chat,1,0,0,NoAnswer,backend,First 5₹,Android,2023-09-04 01:18:17,,2023-09-04 01:21:17,,,,No,,,
